d
Debug= 1
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:29.702
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:29.773
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:29.773
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:29.773
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:29.862
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:29.862
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:29.862
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:29.871
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:29.886
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:29.958
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:29.958
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:29.958
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:29.964
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:29.978
