Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:11.295
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:11.301
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:11.317
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:11.321
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:11.322
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:11.326
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:11.340
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:11.416
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:11.419
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:11.425
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:11.513
